#,variety,lysimeter,day of year,hour,minute,ET,hour of year,minute of year
113,A1,lys9,199,9,20,5,199.375,199.3888889
114,A1,lys9,199,9,25,NA,199.375,199.3923611
115,A1,lys9,199,9,30,25,199.375,199.3958333
116,A1,lys9,199,9,35,5,199.375,199.3993056
117,A1,lys9,199,9,40,10,199.375,199.4027778
118,A1,lys9,199,9,45,NA,199.375,199.40625
119,A1,lys9,199,9,50,25,199.375,199.4097222
120,A1,lys9,199,9,55,10,199.375,199.4131944
121,A1,lys9,199,10,0,10,199.4166667,199.4166667
122,A1,lys9,199,10,5,NA,199.4166667,199.4201389
123,A1,lys9,199,10,10,25,199.4166667,199.4236111
124,A1,lys9,199,10,15,10,199.4166667,199.4270833
125,A1,lys9,199,10,20,20,199.4166667,199.4305556
126,A1,lys9,199,10,25,25,199.4166667,199.4340278
127,A1,lys9,199,10,30,35,199.4166667,199.4375
128,A1,lys9,199,10,35,40,199.4166667,199.4409722
129,A1,lys9,199,10,40,NA,199.4166667,199.4444444
130,A1,lys9,199,10,45,20,199.4166667,199.4479167
131,A1,lys9,199,10,50,25,199.4166667,199.4513889
132,A1,lys9,199,10,55,25,199.4166667,199.4548611
133,A1,lys9,199,11,0,35,199.4583333,199.4583333
134,A1,lys9,199,11,5,30,199.4583333,199.4618056
135,A1,lys9,199,11,10,30,199.4583333,199.4652778
136,A1,lys9,199,11,15,45,199.4583333,199.46875
137,A1,lys9,199,11,20,30,199.4583333,199.4722222
138,A1,lys9,199,11,25,25,199.4583333,199.4756944
139,A1,lys9,199,11,30,35,199.4583333,199.4791667
140,A1,lys9,199,11,35,30,199.4583333,199.4826389
141,A1,lys9,199,11,40,30,199.4583333,199.4861111
142,A1,lys9,199,11,45,35,199.4583333,199.4895833
143,A1,lys9,199,11,50,35,199.4583333,199.4930556
144,A1,lys9,199,11,55,30,199.4583333,199.4965278
145,A1,lys9,199,12,0,35,199.5,199.5
146,A1,lys9,199,12,5,35,199.5,199.5034722
147,A1,lys9,199,12,10,30,199.5,199.5069444
148,A1,lys9,199,12,15,35,199.5,199.5104167
149,A1,lys9,199,12,20,NA,199.5,199.5138889
150,A1,lys9,199,12,25,NA,199.5,199.5173611
151,A1,lys9,199,12,30,NA,199.5,199.5208333
152,A1,lys9,199,12,35,30,199.5,199.5243056
153,A1,lys9,199,12,40,NA,199.5,199.5277778
154,A1,lys9,199,12,45,NA,199.5,199.53125
155,A1,lys9,199,12,50,NA,199.5,199.5347222
156,A1,lys9,199,12,55,NA,199.5,199.5381944
157,A1,lys9,199,13,0,NA,199.5416667,199.5416667
158,A1,lys9,199,13,5,NA,199.5416667,199.5451389
159,A1,lys9,199,13,10,NA,199.5416667,199.5486111
160,A1,lys9,199,13,15,5,199.5416667,199.5520833
161,A1,lys9,199,13,20,10,199.5416667,199.5555556
162,A1,lys9,199,13,25,20,199.5416667,199.5590278
163,A1,lys9,199,13,30,20,199.5416667,199.5625
164,A1,lys9,199,13,35,15,199.5416667,199.5659722
165,A1,lys9,199,13,40,25,199.5416667,199.5694444
166,A1,lys9,199,13,45,NA,199.5416667,199.5729167
167,A1,lys9,199,13,50,NA,199.5416667,199.5763889
168,A1,lys9,199,13,55,NA,199.5416667,199.5798611
